PLANT,LOCATION,PRODCODE,PRODDSCP,CASE_PLT,MON_AVG,CASES,PLTS,OPENORDER,SHIP_QTY,AVAIL
TPLE,TPHC,131607,AM 24/95sqft HVY DTY NON-STICK FOIL 195515027908       TRINITY        ,36.0,111,912,25,180,0,732
TPLE,TPHC,131608,AM 12/90sqft PARCHMENT PAPER 195515027915 B09NQGXJ5C   TRINITY        ,65.0,"1,023","8,871",136,"2,470",0,"6,401"
TPLE,TPHC,131609,AM 6/300sqft FD WRAP (3pks@100)195515027922 B09Z2LFBJC TRINITY        ,63.0,496,"3,633",57,"1,512",0,"2,121"
TPLE,TPHC,131612,AM 6/80 4GAL GNT FRSH SCT 195515027892 ASIN B09NQGR39K TRINITY FG     ,96.0,"2,206","24,324",253,"4,608",0,"19,716"
TPLE,TPHC,131613,AM 6/80 8GAL GNT FRSH SCT 195515027885 ASIN B09NQG83KQ TRINITY        ,50.0,652,"5,600",112,"1,250",0,"4,350"
TPLE,TPHC,131671,AM 1/90 TK DS FLEXTRA-1 195515005050 ASIN B092VKZB89   TRINITY        ,180.0,"4,095","11,880",66,0,0,"11,880"
TPLE,TPHC,131672,AM 1/120 TK DS FLEXTRA FRSH-1 195515005081 B092VQMW7T  TRINITY-AMAZON ,150.0,"5,491","24,900",166,"16,050",0,"8,850"
TPLE,TPHC,131675,AM 1/90 TK DS FLEXTRA FRESH-1 195515005067  B092VQDGWL TRINITY        ,180.0,"2,960","2,340",13,0,0,"2,340"
TPLE,TPHC,131676,AM 1/120 TK DS FLEXTRA WHT-1 195515005074  B092VPGJB9  TRINITY-AMAZON ,150.0,"9,010","7,650",51,"8,400",0,-750
TPLE,TPHC,131677,AM 6/50 TK DS FLEXTRA WHT-1  195515005098  B092VNYHZW  TRINITY        ,44.0,938,"3,168",72,0,0,"3,168"
TPLE,TPHC,131678,AM 6/50 TK DS FLEXTRA FRESH-1 195515005104 B092VPTFS5  TRINITY        ,44.0,572,"4,972",113,176,0,"4,796"
TPLE,TPHC,131679,AM 4/40 LL DS BLK-2   195515012256 ASIN B095PM2HG9     TRINITY        ,56.0,"1,396","1,512",27,168,0,"1,344"
TPLE,TPHC,131680,AM 6/50 MULTI-PRPS TR DS BLK-1 195515012263 B095PL2MPZ TRINITY        ,32.0,"4,863","6,016",188,"9,792",0,"-3,776"
TPLE,TPHC,131681,AM 6/300 DZ REC SANDWICH-1  195515012270  B095PQ6SX7   TRINITY        ,50.0,"7,574","44,690",893,"33,100",0,"11,590"
TPLE,TPHC,131682,AM 6/300 DZ REC SNACK-1  195515012249 ASIN B095PMD8JG  TRINITY        ,60.0,"2,148","15,984",266,"2,700",0,"13,284"
TPLE,TPHC,131731,AM 6/100 DZ REC SANDWICH -195515045414 ASIN B0CH929RS5 TRINITY        ,105.0,"3,457","14,658",139,"13,020",0,"1,638"
TPLE,TPHC,131732,AM 24/200sqft FOOD WRAP - 195515045407 ASIN B0CH92KWTG TRINITY        ,48.0,220,"1,470",30,288,0,"1,182"
TPLE,TPHC,131911,AM 1/120 TK DS FLEXTRA FRSH WHT 10% PCR ASIN B0CTKVBS6G TRINITY       ,150.0,"2,753","6,600",44,0,0,"6,600"
TPLE,TPHC,131913,AM 6/50 MULTI-PURP TR DS FLEXTRA BLK 20% PCR B0CTKV616W TRINITY       ,24.0,"1,837",864,36,480,0,384
TPLE,TPHC,131916,AM 1/90 TK DS FLEXTRA WHT 10% PCR ASIN# B0CTKVWSKM     NEW PCR        ,180.0,"1,625","2,160",12,"1,620",0,540
TPLE,TPHC,131917,AM 1/90 TK DS FLEXTRA FRSH WHT 10% PCR ASIN B0CTKS8XDW TRINITY        ,180.0,"6,270","2,340",13,"2,160",0,180
TPLE,TPHC,131918,AM 6/90 DZ FRZ GAL GSTD w/strip 195515008181 B093WPZF1Y TRINITY       ,33.0,"5,114","10,494",318,"8,382",0,"2,112"
TPLE,TPHC,131919,AM 6/120 DZ ST GAL GSTD w/strip 195515008204 B093WMWKBP TRINITY FG    ,33.0,"5,603","12,375",375,0,0,"12,375"
TPLE,TPHC,131920,AM 6/150 DZ ST QT GSTD w/strip 195515011631 B0953XG36F TRINITY        ,33.0,"2,544","9,064",274,"3,696",165,"5,368"
TPLE,TPHC,131921,AM 6/120 DZ FRZ QT GSTD w/strip 195515008198 B093WNNDLD TRINITY       ,33.0,"3,178","23,738",719,"6,303","1,254","17,435"
TPLE,TPHC,131922,AM 1/90 SLIDER STOR GAL GSTD 195515008242  B093X5W8SQ  TRINITY        ,280.0,"4,820","47,880",171,"5,320",0,"42,560"
TPLE,TPHC,131923,AM 1/120 SLIDER STOR QT GSTD  195515008259  B093X7TBT8 TRINITY        ,324.0,"7,271","40,500",125,"11,340",648,"29,160"
TPLE,TPHC,131924,AM 12/125 SqF HVY DTY ALUM FOIL 195515008211 B093X4M4QF TRINITY       ,90.0,604,"3,060",34,630,0,"2,430"
TPLE,TPHC,131925,AM 6/350 SqFt ALUM FOIL TWIN PK 195515027021 B09KTXVPMN TRINITY       ,90.0,234,"2,700",30,270,0,"2,430"
TPLE,TPHC,131926,AM 12/250 SqFt ALUM FOIL  195515008174 B093WS3YGV      TRINITY        ,90.0,261,"2,340",26,900,90,"1,440"
TPLE,TPHC,131927,AM 6/250 SqFt HVY DTY ALUM FOIL TWIN PK 195515027038   TRINITY        ,90.0,325,"1,890",21,90,0,"1,800"
TOTAL,,,Total,,"89,651","348,585","4,810","134,905","2,157","213,680"
